"Town","FIPS","Year","Entry","Rank","Variable","Measure Type","Value"
"Ansonia","0900901220",2015,"Ansonia Shopping Center LLC",2,"Grand List Value","Number",8601000
"Ansonia","0900901220",2015,"Target Corporation",3,"Grand List Value","Number",8249960
"Ansonia","0900901220",2015,"Yankee Gas Services Co",4,"Grand List Value","Number",8144430
"Ansonia","0900901220",2015,"Ansonia E & A LLC",5,"Grand List Value","Number",6511000
"Ansonia","0900901220",2015,"445 Beaver Brook  LLC",6,"Grand List Value","Number",4700300
"Ansonia","0900901220",2015,"Regional Water Authority",7,"Grand List Value","Number",4085090
"Ansonia","0900901220",2015,"Ansonia Copper & Brass",8,"Grand List Value","Number",4000313
"Ansonia","0900901220",2015,"Ansonia Riverview Apartments",9,"Grand List Value","Number",3572572
"Ansonia","0900901220",2015,"Nissan Infiniti LT",10,"Grand List Value","Number",3265960
"Ansonia","0900901220",2015,"United Illuminating Co.",1,"Percent of Net Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Ansonia Shopping Center LLC",2,"Percent of Net Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Target Corporation",3,"Percent of Net Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Yankee Gas Services Co",4,"Percent of Net Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Ansonia E & A LLC",5,"Percent of Net Grand List","Percent",-6666
"Ansonia","0900901220",2015,"445 Beaver Brook  LLC",6,"Percent of Net Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Regional Water Authority",7,"Percent of Net Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Ansonia Copper & Brass",8,"Percent of Net Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Ansonia Riverview Apartments",9,"Percent of Net Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Nissan Infiniti LT",10,"Percent of Net Grand List","Percent",-6666
"Ansonia","0900901220",2015,"United Illuminating Co.",1,"Percent of Top 10 Total Grand List","Percent",19.54
"Ansonia","0900901220",2015,"Ansonia Shopping Center LLC",2,"Percent of Top 10 Total Grand List","Percent",13.53
"Ansonia","0900901220",2015,"Target Corporation",3,"Percent of Top 10 Total Grand List","Percent",12.98
"Ansonia","0900901220",2015,"Yankee Gas Services Co",4,"Percent of Top 10 Total Grand List","Percent",12.82
"Ansonia","0900901220",2015,"Ansonia E & A LLC",5,"Percent of Top 10 Total Grand List","Percent",10.25
"Ansonia","0900901220",2015,"445 Beaver Brook  LLC",6,"Percent of Top 10 Total Grand List","Percent",7.4
"Ansonia","0900901220",2015,"Regional Water Authority",7,"Percent of Top 10 Total Grand List","Percent",6.43
"Ansonia","0900901220",2015,"Ansonia Copper & Brass",8,"Percent of Top 10 Total Grand List","Percent",6.3
"Ansonia","0900901220",2015,"Ansonia Riverview Apartments",9,"Percent of Top 10 Total Grand List","Percent",5.62
"Ansonia","0900901220",2015,"Nissan Infiniti LT",10,"Percent of Top 10 Total Grand List","Percent",5.14
"Ansonia","0900901220",2015,"United Illuminating Co.",1,"Percent of Total Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Ansonia Shopping Center LLC",2,"Percent of Total Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Target Corporation",3,"Percent of Total Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Yankee Gas Services Co",4,"Percent of Total Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Ansonia E & A LLC",5,"Percent of Total Grand List","Percent",-6666
"Ansonia","0900901220",2015,"445 Beaver Brook  LLC",6,"Percent of Total Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Regional Water Authority",7,"Percent of Total Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Ansonia Copper & Brass",8,"Percent of Total Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Ansonia Riverview Apartments",9,"Percent of Total Grand List","Percent",-6666
"Ansonia","0900901220",2015,"Nissan Infiniti LT",10,"Percent of Total Grand List","Percent",-6666
"Ashford","0901501430",2016,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",5229160
"Ashford","0901501430",2016,"Perryridge Investers",2,"Grand List Value","Number",2114400
"Ashford","0901501430",2016,"Giulietti James D",3,"Grand List Value","Number",1961100
"Ashford","0901501430",2016,"Birch Hill Investors LLC",4,"Grand List Value","Number",1907400
"Ashford","0901501430",2016,"AB Realty LLC",5,"Grand List Value","Number",1606900
"Ashford","0901501430",2016,"Drake Petroleum Co Inc",6,"Grand List Value","Number",1335950
"Ashford","0901501430",2016,"Woodlawn Apartments",7,"Grand List Value","Number",1270400
"Ashford","0901501430",2016,"Mercier Normand & Denise",8,"Grand List Value","Number",1021890
"Ashford","0901501430",2016,"Knowlton Thomas E",9,"Grand List Value","Number",943530
"Ashford","0901501430",2016,"Specyalski Brian E",10,"Grand List Value","Number",932396
"Ashford","0901501430",2016,"Connecticut Light and Power Inc.",1,"Percent of Net Grand List","Percent",1.76
"Ashford","0901501430",2016,"Perryridge Investers",2,"Percent of Net Grand List","Percent",0.71
"Ashford","0901501430",2016,"Giulietti James D",3,"Percent of Net Grand List","Percent",0.66
"Ashford","0901501430",2016,"Birch Hill Investors LLC",4,"Percent of Net Grand List","Percent",0.64
"Ashford","0901501430",2016,"AB Realty LLC",5,"Percent of Net Grand List","Percent",0.54
"Ashford","0901501430",2016,"Drake Petroleum Co Inc",6,"Percent of Net Grand List","Percent",0.45
"Ashford","0901501430",2016,"Woodlawn Apartments",7,"Percent of Net Grand List","Percent",0.43
"Ashford","0901501430",2016,"Mercier Normand & Denise",8,"Percent of Net Grand List","Percent",0.34
"Ashford","0901501430",2016,"Knowlton Thomas E",9,"Percent of Net Grand List","Percent",0.32
"Ashford","0901501430",2016,"Specyalski Brian E",10,"Percent of Net Grand List","Percent",0.31
"Ashford","0901501430",2016,"Connecticut Light and Power Inc.",1,"Percent of Top 10 Total Grand List","Percent",28.54
"Ashford","0901501430",2016,"Perryridge Investers",2,"Percent of Top 10 Total Grand List","Percent",11.54
"Ashford","0901501430",2016,"Giulietti James D",3,"Percent of Top 10 Total Grand List","Percent",10.7
"Ashford","0901501430",2016,"Birch Hill Investors LLC",4,"Percent of Top 10 Total Grand List","Percent",10.41
"Ashford","0901501430",2016,"AB Realty LLC",5,"Percent of Top 10 Total Grand List","Percent",8.77
"Ashford","0901501430",2016,"Drake Petroleum Co Inc",6,"Percent of Top 10 Total Grand List","Percent",7.29
"Ashford","0901501430",2016,"Woodlawn Apartments",7,"Percent of Top 10 Total Grand List","Percent",6.93
"Ashford","0901501430",2016,"Mercier Normand & Denise",8,"Percent of Top 10 Total Grand List","Percent",5.58
"Ashford","0901501430",2016,"Knowlton Thomas E",9,"Percent of Top 10 Total Grand List","Percent",5.15
"Ashford","0901501430",2016,"Specyalski Brian E",10,"Percent of Top 10 Total Grand List","Percent",5.09
"Ashford","0901501430",2016,"Connecticut Light and Power Inc.",1,"Percent of Total Grand List","Percent",1.55
"Ashford","0901501430",2016,"Perryridge Investers",2,"Percent of Total Grand List","Percent",0.63
"Ashford","0901501430",2016,"Giulietti James D",3,"Percent of Total Grand List","Percent",0.58
"Ashford","0901501430",2016,"Birch Hill Investors LLC",4,"Percent of Total Grand List","Percent",0.56
"Ashford","0901501430",2016,"AB Realty LLC",5,"Percent of Total Grand List","Percent",0.48
"Ashford","0901501430",2016,"Drake Petroleum Co Inc",6,"Percent of Total Grand List","Percent",0.4
"Ashford","0901501430",2016,"Woodlawn Apartments",7,"Percent of Total Grand List","Percent",0.38
"Ashford","0901501430",2016,"Mercier Normand & Denise",8,"Percent of Total Grand List","Percent",0.3
"Ashford","0901501430",2016,"Knowlton Thomas E",9,"Percent of Total Grand List","Percent",0.28
"Ashford","0901501430",2016,"Specyalski Brian E",10,"Percent of Total Grand List","Percent",0.28
"Avon","0900302060",2016,"Eversource",1,"Grand List Value","Number",17530150
"Avon","0900302060",2016,"GAIA Avon Place LLC",2,"Grand List Value","Number",15287990
"Avon","0900302060",2016,"Avon Marketplace Investors",3,"Grand List Value","Number",14325490
"Avon","0900302060",2016,"Two Fifty Five West Main Street",4,"Grand List Value","Number",14052020
"Avon","0900302060",2016,"Avon Mill LLC",5,"Grand List Value","Number",13674330
"Avon","0900302060",2016,"Nod Brook LLC",6,"Grand List Value","Number",12473540
"Avon","0900302060",2016,"Avon Water Co",7,"Grand List Value","Number",10146940
"Avon","0900302060",2016,"BRE Apex Property Owner, LLC",8,"Grand List Value","Number",9590300
"Avon","0900302060",2016,"Brighenti Family Wellness Center",9,"Grand List Value","Number",9030000
"Avon","0900302060",2016,"One Hundred One Bickford",10,"Grand List Value","Number",8633850
"Avon","0900302060",2016,"Eversource",1,"Percent of Net Grand List","Percent",0.67
"Avon","0900302060",2016,"GAIA Avon Place LLC",2,"Percent of Net Grand List","Percent",0.59
"Avon","0900302060",2016,"Avon Marketplace Investors",3,"Percent of Net Grand List","Percent",0.55
"Avon","0900302060",2016,"Two Fifty Five West Main Street",4,"Percent of Net Grand List","Percent",0.54
"Avon","0900302060",2016,"Avon Mill LLC",5,"Percent of Net Grand List","Percent",0.52
"Avon","0900302060",2016,"Nod Brook LLC",6,"Percent of Net Grand List","Percent",0.48
"Avon","0900302060",2016,"Avon Water Co",7,"Percent of Net Grand List","Percent",0.39
"Avon","0900302060",2016,"BRE Apex Property Owner, LLC",8,"Percent of Net Grand List","Percent",0.37
"Avon","0900302060",2016,"Brighenti Family Wellness Center",9,"Percent of Net Grand List","Percent",0.35
"Avon","0900302060",2016,"One Hundred One Bickford",10,"Percent of Net Grand List","Percent",0.33
"Avon","0900302060",2016,"Eversource",1,"Percent of Top 10 Total Grand List","Percent",14.05
"Avon","0900302060",2016,"GAIA Avon Place LLC",2,"Percent of Top 10 Total Grand List","Percent",12.26
"Avon","0900302060",2016,"Avon Marketplace Investors",3,"Percent of Top 10 Total Grand List","Percent",11.48
"Avon","0900302060",2016,"Two Fifty Five West Main Street",4,"Percent of Top 10 Total Grand List","Percent",11.26
"Avon","0900302060",2016,"Avon Mill LLC",5,"Percent of Top 10 Total Grand List","Percent",10.96
"Avon","0900302060",2016,"Nod Brook LLC",6,"Percent of Top 10 Total Grand List","Percent",10
"Avon","0900302060",2016,"Avon Water Co",7,"Percent of Top 10 Total Grand List","Percent",8.13
"Avon","0900302060",2016,"BRE Apex Property Owner, LLC",8,"Percent of Top 10 Total Grand List","Percent",7.69
"Avon","0900302060",2016,"Brighenti Family Wellness Center",9,"Percent of Top 10 Total Grand List","Percent",7.24
"Avon","0900302060",2016,"One Hundred One Bickford",10,"Percent of Top 10 Total Grand List","Percent",6.92
"Avon","0900302060",2016,"Eversource",1,"Percent of Total Grand List","Percent",0.66
"Avon","0900302060",2016,"GAIA Avon Place LLC",2,"Percent of Total Grand List","Percent",0.58
"Avon","0900302060",2016,"Avon Marketplace Investors",3,"Percent of Total Grand List","Percent",0.54
"Avon","0900302060",2016,"Two Fifty Five West Main Street",4,"Percent of Total Grand List","Percent",0.53
"Avon","0900302060",2016,"Avon Mill LLC",5,"Percent of Total Grand List","Percent",0.52
"Avon","0900302060",2016,"Nod Brook LLC",6,"Percent of Total Grand List","Percent",0.47
"Avon","0900302060",2016,"Avon Water Co",7,"Percent of Total Grand List","Percent",0.38
"Avon","0900302060",2016,"BRE Apex Property Owner, LLC",8,"Percent of Total Grand List","Percent",0.36
"Avon","0900302060",2016,"Brighenti Family Wellness Center",9,"Percent of Total Grand List","Percent",0.34
"Avon","0900302060",2016,"One Hundred One Bickford",10,"Percent of Total Grand List","Percent",0.33
"Barkhamsted","0900502760",2016,"The Metropolitan District",1,"Grand List Value","Number",33418650
"Barkhamsted","0900502760",2016,"Connecticut Light & Power",2,"Grand List Value","Number",5465320
"Barkhamsted","0900502760",2016,"Mallory Brook Development",3,"Grand List Value","Number",2100000
"Barkhamsted","0900502760",2016,"Air Realty Group",4,"Grand List Value","Number",1383160
"Barkhamsted","0900502760",2016,"Retional Refuse Disp Distr #1",5,"Grand List Value","Number",1185610
"Barkhamsted","0900502760",2016,"Rocktree LLC",6,"Grand List Value","Number",954040
"Barkhamsted","0900502760",2016,"West Hill Property",7,"Grand List Value","Number",907400
"Barkhamsted","0900502760",2016,"Boulder Village Properties LLC",8,"Grand List Value","Number",890160
"Barkhamsted","0900502760",2016,"Residential Property Owner",9,"Grand List Value","Number",887070
"Barkhamsted","0900502760",2016,"Cesana Fred A Trustee",10,"Grand List Value","Number",869760
"Barkhamsted","0900502760",2016,"The Metropolitan District",1,"Percent of Net Grand List","Percent",9.62
"Barkhamsted","0900502760",2016,"Connecticut Light & Power",2,"Percent of Net Grand List","Percent",1.57
"Barkhamsted","0900502760",2016,"Mallory Brook Development",3,"Percent of Net Grand List","Percent",0.6
"Barkhamsted","0900502760",2016,"Air Realty Group",4,"Percent of Net Grand List","Percent",0.4
"Barkhamsted","0900502760",2016,"Retional Refuse Disp Distr #1",5,"Percent of Net Grand List","Percent",0.34
"Barkhamsted","0900502760",2016,"Rocktree LLC",6,"Percent of Net Grand List","Percent",0.27
"Barkhamsted","0900502760",2016,"West Hill Property",7,"Percent of Net Grand List","Percent",0.26
"Barkhamsted","0900502760",2016,"Boulder Village Properties LLC",8,"Percent of Net Grand List","Percent",0.26
"Barkhamsted","0900502760",2016,"Residential Property Owner",9,"Percent of Net Grand List","Percent",0.26
"Barkhamsted","0900502760",2016,"Cesana Fred A Trustee",10,"Percent of Net Grand List","Percent",0.25
"Barkhamsted","0900502760",2016,"The Metropolitan District",1,"Percent of Top 10 Total Grand List","Percent",69.53
"Barkhamsted","0900502760",2016,"Connecticut Light & Power",2,"Percent of Top 10 Total Grand List","Percent",11.37
"Barkhamsted","0900502760",2016,"Mallory Brook Development",3,"Percent of Top 10 Total Grand List","Percent",4.37
"Barkhamsted","0900502760",2016,"Air Realty Group",4,"Percent of Top 10 Total Grand List","Percent",2.88
"Barkhamsted","0900502760",2016,"Retional Refuse Disp Distr #1",5,"Percent of Top 10 Total Grand List","Percent",2.47
"Barkhamsted","0900502760",2016,"Rocktree LLC",6,"Percent of Top 10 Total Grand List","Percent",1.99
"Barkhamsted","0900502760",2016,"West Hill Property",7,"Percent of Top 10 Total Grand List","Percent",1.89
"Barkhamsted","0900502760",2016,"Boulder Village Properties LLC",8,"Percent of Top 10 Total Grand List","Percent",1.85
"Barkhamsted","0900502760",2016,"Residential Property Owner",9,"Percent of Top 10 Total Grand List","Percent",1.85
"Barkhamsted","0900502760",2016,"Cesana Fred A Trustee",10,"Percent of Top 10 Total Grand List","Percent",1.81
"Barkhamsted","0900502760",2016,"The Metropolitan District",1,"Percent of Total Grand List","Percent",9.46
"Barkhamsted","0900502760",2016,"Connecticut Light & Power",2,"Percent of Total Grand List","Percent",1.55
"Barkhamsted","0900502760",2016,"Mallory Brook Development",3,"Percent of Total Grand List","Percent",0.59
"Barkhamsted","0900502760",2016,"Air Realty Group",4,"Percent of Total Grand List","Percent",0.39
"Barkhamsted","0900502760",2016,"Retional Refuse Disp Distr #1",5,"Percent of Total Grand List","Percent",0.34
"Barkhamsted","0900502760",2016,"Rocktree LLC",6,"Percent of Total Grand List","Percent",0.27
"Barkhamsted","0900502760",2016,"West Hill Property",7,"Percent of Total Grand List","Percent",0.26
"Barkhamsted","0900502760",2016,"Boulder Village Properties LLC",8,"Percent of Total Grand List","Percent",0.25
"Barkhamsted","0900502760",2016,"Residential Property Owner",9,"Percent of Total Grand List","Percent",0.25
"Barkhamsted","0900502760",2016,"Cesana Fred A Trustee",10,"Percent of Total Grand List","Percent",0.25
"Beacon Falls","0900903250",2013,"Two North Main LLC",1,"Grand List Value","Number",-6666
"Beacon Falls","0900903250",2013,"Connecticut Light & Power",2,"Grand List Value","Number",-6666
"Beacon Falls","0900903250",2013,"AM Alexandria LLC",3,"Grand List Value","Number",-6666
"Beacon Falls","0900903250",2013,"Murtha Enterprises Inc.",4,"Grand List Value","Number",-6666
"Beacon Falls","0900903250",2013,"Aquarion Water Co of CT",5,"Grand List Value","Number",-6666
"Beacon Falls","0900903250",2013,"Murtha Industrial Four LLC",6,"Grand List Value","Number",-6666
"Beacon Falls","0900903250",2013,"SMSP - Connecticut LLC",7,"Grand List Value","Number",-6666
"Beacon Falls","0900903250",2013,"CRC Development LLC",8,"Grand List Value","Number",-6666
"Beacon Falls","0900903250",2013,"Swymour Beacon Falls LLC",9,"Grand List Value","Number",-6666
"Beacon Falls","0900903250",2013,"Mark Leonard",10,"Grand List Value","Number",-6666
"Beacon Falls","0900903250",2013,"Two North Main LLC",1,"Percent of Net Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Connecticut Light & Power",2,"Percent of Net Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"AM Alexandria LLC",3,"Percent of Net Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Murtha Enterprises Inc.",4,"Percent of Net Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Aquarion Water Co of CT",5,"Percent of Net Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Murtha Industrial Four LLC",6,"Percent of Net Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"SMSP - Connecticut LLC",7,"Percent of Net Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"CRC Development LLC",8,"Percent of Net Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Swymour Beacon Falls LLC",9,"Percent of Net Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Mark Leonard",10,"Percent of Net Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Two North Main LLC",1,"Percent of Top 10 Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Connecticut Light & Power",2,"Percent of Top 10 Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"AM Alexandria LLC",3,"Percent of Top 10 Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Murtha Enterprises Inc.",4,"Percent of Top 10 Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Aquarion Water Co of CT",5,"Percent of Top 10 Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Murtha Industrial Four LLC",6,"Percent of Top 10 Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"SMSP - Connecticut LLC",7,"Percent of Top 10 Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"CRC Development LLC",8,"Percent of Top 10 Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Swymour Beacon Falls LLC",9,"Percent of Top 10 Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Mark Leonard",10,"Percent of Top 10 Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Two North Main LLC",1,"Percent of Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Connecticut Light & Power",2,"Percent of Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"AM Alexandria LLC",3,"Percent of Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Murtha Enterprises Inc.",4,"Percent of Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Aquarion Water Co of CT",5,"Percent of Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Murtha Industrial Four LLC",6,"Percent of Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"SMSP - Connecticut LLC",7,"Percent of Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"CRC Development LLC",8,"Percent of Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Swymour Beacon Falls LLC",9,"Percent of Total Grand List","Percent",-6666
"Beacon Falls","0900903250",2013,"Mark Leonard",10,"Percent of Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Rocky River Realty Corp",1,"Grand List Value","Number",-6666
"Berlin","0900304300",2009,"Corbin Russwin Inc.",2,"Grand List Value","Number",-6666
"Berlin","0900304300",2009,"Cedar Brickyard LLC",3,"Grand List Value","Number",-6666
"Berlin","0900304300",2009,"Stonebridge Berlin Assoc. & Stonebridge Berlin 11 Assoc.",4,"Grand List Value","Number",-6666
"Berlin","0900304300",2009,"Atohaas North America Inc.",5,"Grand List Value","Number",-6666
"Berlin","0900304300",2009,"Bre Realty LLC",6,"Grand List Value","Number",-6666
"Berlin","0900304300",2009,"Blue Dog Properties Trust",7,"Grand List Value","Number",-6666
"Berlin","0900304300",2009,"Paradigm Percision Holdings LLC",8,"Grand List Value","Number",-6666
"Berlin","0900304300",2009,"Berlin Comerce Park",9,"Grand List Value","Number",-6666
"Berlin","0900304300",2009,"Bayer Polymer LLC & Sheffield Plastics Inc. & Bayer Business & Tech Service",10,"Grand List Value","Number",-6666
"Berlin","0900304300",2009,"Rocky River Realty Corp",1,"Percent of Net Grand List","Percent",-6666
"Berlin","0900304300",2009,"Corbin Russwin Inc.",2,"Percent of Net Grand List","Percent",-6666
"Berlin","0900304300",2009,"Cedar Brickyard LLC",3,"Percent of Net Grand List","Percent",-6666
"Berlin","0900304300",2009,"Stonebridge Berlin Assoc. & Stonebridge Berlin 11 Assoc.",4,"Percent of Net Grand List","Percent",-6666
"Berlin","0900304300",2009,"Atohaas North America Inc.",5,"Percent of Net Grand List","Percent",-6666
"Berlin","0900304300",2009,"Bre Realty LLC",6,"Percent of Net Grand List","Percent",-6666
"Berlin","0900304300",2009,"Blue Dog Properties Trust",7,"Percent of Net Grand List","Percent",-6666
"Berlin","0900304300",2009,"Paradigm Percision Holdings LLC",8,"Percent of Net Grand List","Percent",-6666
"Berlin","0900304300",2009,"Berlin Comerce Park",9,"Percent of Net Grand List","Percent",-6666
"Berlin","0900304300",2009,"Bayer Polymer LLC & Sheffield Plastics Inc. & Bayer Business & Tech Service",10,"Percent of Net Grand List","Percent",-6666
"Berlin","0900304300",2009,"Rocky River Realty Corp",1,"Percent of Top 10 Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Corbin Russwin Inc.",2,"Percent of Top 10 Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Cedar Brickyard LLC",3,"Percent of Top 10 Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Stonebridge Berlin Assoc. & Stonebridge Berlin 11 Assoc.",4,"Percent of Top 10 Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Atohaas North America Inc.",5,"Percent of Top 10 Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Bre Realty LLC",6,"Percent of Top 10 Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Blue Dog Properties Trust",7,"Percent of Top 10 Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Paradigm Percision Holdings LLC",8,"Percent of Top 10 Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Berlin Comerce Park",9,"Percent of Top 10 Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Bayer Polymer LLC & Sheffield Plastics Inc. & Bayer Business & Tech Service",10,"Percent of Top 10 Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Rocky River Realty Corp",1,"Percent of Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Corbin Russwin Inc.",2,"Percent of Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Cedar Brickyard LLC",3,"Percent of Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Stonebridge Berlin Assoc. & Stonebridge Berlin 11 Assoc.",4,"Percent of Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Atohaas North America Inc.",5,"Percent of Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Bre Realty LLC",6,"Percent of Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Blue Dog Properties Trust",7,"Percent of Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Paradigm Percision Holdings LLC",8,"Percent of Total Grand List","Percent",-6666
"Berlin","0900304300",2009,"Berlin Comerce Park",9,"Percent of Total Grand List","Percent",-6666
